,Name,LifeSat,CountryCode,Region,HDI,LE,EYS,MYS,GNI
113,South Sudan,3.591,SSD,Sub-Saharan Africa,0.412770472,57.604,5.00038,4.84913,1455.229886
114,Spain,6.403,ESP,Europe & Central Asia,0.892788461,83.433,17.87704,9.819481806,35041.29991
115,Sri Lanka,4.44,LKA,South Asia,0.780114782,76.812,13.96532,11.05175,11610.90818
116,Sudan,4.139,SDN,Sub-Saharan Africa,0.507498809,65.095,7.73987,3.72,3961.615683
117,Sweden,7.284,SWE,Europe & Central Asia,0.936627634,82.654,18.83223,12.42604923,47955.44724
118,Switzerland,7.494,CHE,Europe & Central Asia,0.945936117,83.63,16.20882,13.38081241,59374.73403
119,Syria,3.462,SYR,Middle East & North Africa,0.548903221,71.779,8.8501,5.1,2725.189347
120,Tajikistan,5.041,TJK,Europe & Central Asia,0.65603911,70.879,11.40786,10.67167179,3482.378737
121,Thailand,6.424,THA,East Asia & Pacific,0.764604938,76.931,14.6502963,7.731400914,16128.54767
122,Togo,3.495,TGO,Sub-Saharan Africa,0.512732736,60.76,12.56833,4.949925584,1592.536702
123,Tunisia,4.805,TUN,Middle East & North Africa,0.739200559,76.505,15.10152,7.172257455,10676.96362
124,Turkey,5.5,TUR,Europe & Central Asia,0.806490176,77.437,16.439128,7.667909126,24905.38066
125,Turkmenistan,5.822,TKM,Europe & Central Asia,0.710130829,68.073,10.88933112,9.78,16407.47046
126,Uganda,4.081,UGA,Sub-Saharan Africa,0.528190903,62.973,11.24256,6.090251,1752.210989
127,Ukraine,4.096,UKR,Europe & Central Asia,0.749745952,71.953,15.07384705,11.34,7994.213212
128,United Arab Emirates,6.648,ARE,Middle East & North Africa,0.86643767,77.814,13.64343,10.95412,66911.66289
129,United Kingdom,6.714,GBR,Europe & Central Asia,0.920351548,81.236,17.4429,12.95067,39507.28595
130,United States,6.993,USA,North America,0.919925749,78.851,16.27437,13.41344,56140.23348
131,Uruguay,6.454,URY,Latin America & Caribbean,0.807763814,77.77,16.34484,8.728716877,19434.85186
132,Uzbekistan,5.971,UZB,Europe & Central Asia,0.710477618,71.573,12.01214,11.52496134,6461.84249
133,Zambia,4.514,ZMB,Sub-Saharan Africa,0.59146244,63.51,12.06104,7.104178868,3581.886613
134,Zimbabwe,3.875,ZWE,Sub-Saharan Africa,0.563100169,61.195,10.45108,8.342245697,2661.072065
